,name,rating,location,price
312,Sunotel Club Central,7.9,"Valencia, 157, Eixample, 08011 Barcelona, Spain","€ 1,409"
313,Hostel Central and Basic Universitat,7.4,"Joaquin Costa, 44, Ciutat Vella, 08001 Barcelona, Spain",€ 849
314,Casa Mathilda,9.1,"Roger de Lluria, 125, Eixample, 08037 Barcelona, Spain","€ 1,806"
315,Catalonia La Maquinista,8.5,"Sao Paolo, 33-37, Sant Andreu, 08030 Barcelona, Spain","€ 1,076"
316,08028 Apartments,8.8,"Can Bruixa, 6-8, Les Corts, 08028 Barcelona, Spain","€ 1,856"
317,Hotel Nuevo Triunfo,7.8,"Cabanes, 34, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,755"
318,Ikonik Anglí,8.0,"Angli, 60, Sarrià-St. Gervasi, 08017 Barcelona, Spain","€ 1,652"
319,Mercer Hotel Barcelona,9.2,"Dels Lledo, 7, Ciutat Vella, 08003 Barcelona, Spain","€ 3,349"
320,Hotel Margot House Barcelona,9.0,"Paseo de Gracia, 46, Eixample, 08007 Barcelona, Spain","€ 2,921"
321,Almanac Barcelona,8.8,"Gran Via de les Corts Catalanes 619-621, Eixample, 08007 Barcelona, Spain","€ 4,830"
322,Melia Barcelona Sarriá,8.2,"Avenida Sarriá, 50, Les Corts, 08029 Barcelona, Spain","€ 1,927"
323,Apartments Sata Sagrada Familia Area,8.3,"Ventalló, 48, Gràcia, 08025 Barcelona, Spain","€ 1,478"
324,The Level at Melia Barcelona Sky,8.4,"Lope de Vega, 141, Sant Martí, 08005 Barcelona, Spain","€ 2,985"
325,EA Sagrada Familia IV Great Apartment 6 pax next Sagrada Familia WAS 3,,"Carrer del Consell de Cent, 477, 1º 2ª, Eixample, 08013 Barcelona, Spain","€ 2,243"
326,Factory Gardens Barcelona,9.0,"Passeig d'Isabel II, 10, Ciutat Vella, 08003 Barcelona, Spain","€ 1,964"
327,La Guarida Suites,8.0,"11 Carrer del Carme, Ciutat Vella, 08001 Barcelona, Spain","€ 2,493"
328,Hotel del Mar,8.4,"Pla de Palau, 19, Ciutat Vella, 08003 Barcelona, Spain","€ 1,213"
329,Hostal La Terrassa,8.2,"Carrer Junta de Comerç, 11, Ciutat Vella, 08001 Barcelona, Spain",€ 980
330,Apart-Suites Hostemplo,8.6,"Pasaje Gaiola 19, Eixample, 08013 Barcelona, Spain","€ 2,223"
331,Aspasios Urquinaona Design,8.6,"Girona, 15, Eixample, 08010 Barcelona, Spain","€ 2,631"
332,Moderno,7.3,"Hospital, 11, Ciutat Vella, 08001 Barcelona, Spain","€ 1,918"
333,Hostal Sol y K,8.0,"Cervantes, 2, Ciutat Vella, 08002 Barcelona, Spain","€ 1,856"
334,The Level at Melia Barcelona Sky,8.4,"Lope de Vega, 141, Sant Martí, 08005 Barcelona, Spain","€ 2,985"
335,Pol & Grace Hotel,8.5,"Guillem Tell, 49, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 2,122"
336,Sonder Vasanta,8.1,"Casp, 31 , Eixample, 08010 Barcelona, Spain","€ 1,916"
337,ApartEasy - Central Gracia Apartments,7.6,"Carrer Santa Tecla, 3, 08012 Barcelona, España., Gràcia, 08012 Barcelona, Spain","€ 1,796"
338,Hotel Pulitzer Barcelona,8.8,"Bergara, 8, Eixample, 08002 Barcelona, Spain","€ 2,353"
339,H10 Casanova,8.6,"Gran Via, 559, Eixample, 08012 Barcelona, Spain","€ 1,398"
340,B&B Boutique Ca La Maria,8.9,"Còrsega 284, Principal, Eixample, 08008 Barcelona, Spain","€ 2,226"
341,Ola Living Santa Anna,8.1,"Calle Santa Anna 35, Ciutat Vella, 08002 Barcelona, Spain","€ 2,339"
342,Suites Center Barcelona,9.0,"Passeig de Gràcia, 128, Gràcia, 08008 Barcelona, Spain","€ 2,381"
343,LeMar Boutique Barcelona,8.4,"Enric Granados, 44 - Principal, Eixample, 08008 Barcelona, Spain","€ 1,696"
344,Aparthotel Rambla108,8.2,"Las Ramblas, 108, Ciutat Vella, 08002 Barcelona, Spain","€ 2,094"
345,Casa Vaganto,8.8,"1 Carrer d'En Fontrodona 1o 1a, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,248"
346,Eco Boutique Hostal Grau,9.0,"Ramelleres, 27, Ciutat Vella, 08001 Barcelona, Spain","€ 1,687"
347,Ola Living Music,7.9,"Sant Pere Mes Alt, 21, Ciutat Vella, 08003 Barcelona, Spain","€ 2,474"
348,Casa Gracia,7.7,"Passeig de Gracia, 116 Bis, Gràcia, 08008 Barcelona, Spain","€ 1,503"
349,Aspasios Plaza Real Apartments,7.9,"Ferran, 7, Ciutat Vella, 08001 Barcelona, Spain","€ 1,938"
350,Modern and bright apartment in Eixample 2-1,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 2,144"
351,BCN Rambla Catalunya Apartments,8.8,"Rambla Catalunya, 101- 103, Eixample, 08008 Barcelona, Spain","€ 3,275"
352,Arya Stadium Hotel,8.7,"CARRER DE SANTS 383, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,269"
353,Urban District Apartments - Rambla Suites & Pool,6.9,"Carrer del Ferrocarril 27, Sant Martí, 08005 Barcelona, Spain","€ 1,703"
354,Casa Vaganto,8.8,"1 Carrer d'En Fontrodona 1o 1a, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,248"
355,AinB Sagrada Familia Apartments,7.7,"Sicilia, 109, Eixample, 08013 Barcelona, Spain","€ 1,929"
356,Habitat Apartments ADN,8.0,"Creu Coberta, 87, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,870"
357,Magnificent apartment close to the beach,7.4,"73 Avinguda de Manuel Fernández Márquez, 08930 Barcelona, Spain","€ 1,495"
358,Moderno,7.3,"Hospital, 11, Ciutat Vella, 08001 Barcelona, Spain","€ 1,949"
359,Habitat Apartments Barcelona Balconies,7.9,"Calle Enric Granados 115, Eixample, 08036 Barcelona, Spain","€ 2,348"
360,Alba Hotel,7.1,"Hospital, 83, Ciutat Vella, 08001 Barcelona, Spain","€ 1,490"
361,Oriente Atiram,7.8,"Ramblas, 45, Ciutat Vella, 08002 Barcelona, Spain","€ 1,529"
362,AinB Las Ramblas-Guardia Apartments,7.0,"Guardia, 8, Ciutat Vella, 08001 Barcelona, Spain","€ 1,837"
363,Lodging Apartments Sagrada Familia,7.4,"Different Locations, Eixample, 08025 Barcelona, Spain","€ 1,392"
364,Lodging Apartments Gaudi Views,9.3,"Carrer de Lepant 279, Eixample, 08013 Barcelona, Spain","€ 2,462"
365,Residència Erasmus Gracia,8.0,"Torrent de L'olla, 212-214, Gràcia, 08012 Barcelona, Spain",€ 977
366,"Hotel Gran Derby Suites, a Small Luxury Hotel of the World",8.7,"Loreto, 28, Les Corts, 08029 Barcelona, Spain","€ 1,341"
367,Liceu Apartments by gaiarooms,7.4,"10 Carrer del Carme, Ciutat Vella, 08001 Barcelona, Spain","€ 1,914"
368,ApartEasy - Gracia Apartments,7.1,"Santa Tecla, 3, Gràcia, 08012 Barcelona, Spain","€ 1,896"
369,Central and Basic Solarium Hostel,7.4,"Guardia, 13, Ciutat Vella, 08001 Barcelona, Spain","€ 1,073"
370,NiM Eixample 5,6.8,"Aribau, 100, Eixample, 08036 Barcelona, Spain","€ 1,853"
371,Apartment Adele,,"177 Avinguda del Paral·lel, Sants-Montjuïc, 08004 Barcelona, Spain","€ 3,268"
372,Limonaia,8.4,"Rosselló, 242, Eixample, 08008 Barcelona, Spain","€ 1,219"
373,Acta Atrium Palace,8.2,"Gran Via Corts Catalanes, 656, Eixample, 08010 Barcelona, Spain","€ 1,683"
374,Modern and bright apartment in Eixample 3-1,10,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 2,142"
375,Habitat Apartments Barcelona Balconies,7.9,"Calle Enric Granados 115, Eixample, 08036 Barcelona, Spain","€ 2,348"
