,name,rating,location,price
903,CH La Petite Maison - Boutique - Madrid,8.7,"18 Cuesta de Santo Domingo Piso 5º, Centro, 28013 Madrid, Spain","€ 5,488"
904,FUENCARRAL BARCELO Apartaments TPH,6.7,"3 Calle de Santa Brígida, Centro, 28004 Madrid, Spain","€ 1,166"
905,BNBHolder Charming & Stylish II CHUECA,8.6,"Calle de Augusto Figueroa, Centro, 28004 Madrid, Spain","€ 1,986"
906,Malasaña Suite by Madflats Collection,8.7,"19 Calle Santa Lucia, Centro, 28004 Madrid, Spain","€ 1,678"
907,Amazing flat 5 balconies in Chueca - Gran Via,10,"9 Calle de las Infantas, Centro, 28004 Madrid, Spain","€ 2,248"
908,MIT House Plaza Mayor Terrace en Madrid,7.7,"Calle Concepción Jerónima 5, 5, Centro, 28012 Madrid, Spain","€ 4,154"
909,Royal Madrid by Madflats Collection,10,"Ave María, 20, Centro, 28012 Madrid, Spain","€ 1,617"
910,BNBHolder Apartamentos en Sol Confort 9,,"Puerta del Sol, Centro, Madrid, Spain","€ 3,909"
911,AmazINN Places Atico Plaza Santa Ana,4.5,"Calle de Alvarez Gato, 9, Centro, 28012 Madrid, Spain","€ 3,860"
912,MIT House Tirso en Madrid,6.6,"Calvario, 15, Centro, 28012 Madrid, Spain","€ 4,180"
913,CH Otello Rooms I - Madrid,6.7,"Campomanes, 6, 3º, Centro, 28013 Madrid, Spain","€ 3,291"
914,Beautiful and comfortable flat in center of Madrid,8.4,"Calle de Ventura de la Vega 12, Centro, 28014 Madrid, Spain","€ 2,124"
915,BNBHolder Group Stunning SOL,9.2,"Calle Olivar, Centro, 28012 Madrid, Spain","€ 4,383"
916,Callao - penthouse with terrace,,"8 Calle de las Navas de Tolosa, Centro, 28013 Madrid, Spain","€ 4,420"
917,Center Sol Boutique,7.5,"Infante, 8,  , Centro, 28012 Madrid, Spain","€ 1,843"
918,Charming Puerta del Sol IV - Encanto en el centro de Madrid,6.9,"17 Calle de la Aduana, Centro, 28013 Madrid, Spain","€ 1,120"
919,BNBHolder LUXE ATOCHA STATION,8.8,"Ronda de Atocha, Centro, 28012 Madrid, Spain","€ 3,519"
920,"Apartamento Madrid, 1 dormitorio, 3 personas - ES-183-53",,"LAVAPIES 4, Centro, 28013 Madrid, Spain",€ 811
921,Agradable piso de 3 hab en El Rastro/Centro Madrid,5.0,"6 Calle de Santa Ana, Centro, 28005 Madrid, Spain","€ 2,074"
922,Impressive Apartment in Madrid Center by Batuecas,7.6,"Calle de la Cabeza, 16, Centro, 28012 Madrid, Spain","€ 2,056"
923,Charming Bohemian Lavapies,,"7 Calle de la Encomienda, Centro, 28012 Madrid, Spain","€ 1,316"
924,Big Apartment in Plaza Mayor in Madrid Spain,8.0,"2 Calle de Toledo, Centro, 28005 Madrid, Spain","€ 4,855"
925,LA LATINA VII,7.4,"Travesia del Almendro, Centro, 28005 Madrid, Spain","€ 1,425"
926,BNBHolder Black & Yellow Design SOL,8.5,"Calle de los Jardines, Centro, 28013 Madrid, Spain","€ 2,481"
927,BNBHolder Cosy & Modern SOL,8.2,"Callejón dela Concepción Jerónima, Centro, 28012 Madrid, Spain","€ 1,494"
928,Suitur Apartment Hita I Centro Madrid,7.8,"Miguel Moya4, 1, int dcha 1, Centro, 28004 Madrid, Spain",€ 816
929,BNBHolder Vintage & Deluxe LATINA,8.1,"San Cayetano, Centro, 28005 Madrid, Spain","€ 2,239"
930,Genial Apartamento en La Latina Centro de Madrid,,"77 Calle de Toledo, Centro, 28005 Madrid, Spain","€ 1,944"
931,BNBHolder TopDesign CENTRE,8.6,"Calle de los Cabestreros, Centro, 28012 Madrid, Spain","€ 1,529"
932,Apartamentos Day Madrid BORREGO Centro Gran Via Sol Malasaña,7.1,"Calle Andrés Borrego 7, Centro, 28004 Madrid, Spain","€ 1,192"
933,BNBHolder Stunning Duplex SOL,8.2,"Calle Juanelo, Centro, 28012 Madrid, Spain","€ 4,986"
934,Apartamento moderno junto a la Gran Via,8.8,"11 Calle del Desengano 3o Interior Derecha, Centro, 28004 Madrid, Spain","€ 4,028"
935,Las Letras de Santa María,5.7,"Santa María, 1, Centro, 28014 Madrid, Spain","€ 1,493"
936,Luxury Design Madrid Center,7.4,"Calle de San Vicente Ferrer, 42, Centro, 28004 Madrid, Spain","€ 1,516"
937,New Heima Homes Gran Vía 2A,,"4 Calle de Muñoz Torrero 2ºA, Centro, 28004 Madrid, Spain","€ 1,168"
938,San Miguel Aparment by Flatsweethome,8.9,"Calle Gomez de Mora 3, Centro, 28005 Madrid, Spain","€ 2,618"
939,AmazINN Places Lavapies IV,5.5,"Argumosa, 11, Centro, 28012 Madrid, Spain","€ 1,648"
940,apartamento en la latina para 4 personas,,"CALLE DE LA VILLA, 4, Centro, 28005 Madrid, Spain",€ 848
941,"Apartamento Madrid, 1 dormitorio, 3 personas - ES-183-7",,"BUENA VISTA 12, Centro, 28013 Madrid, Spain","€ 1,022"
942,Lovely Studio for 2 - La Latina III,9.0,"Plaza de los Carros, Centro, 28005 Madrid, Spain","€ 1,265"
