,name,rating,location,price
320,Wander by Pillow,8.0,"Carrer de Montserrat 13, 4o, Ciutat Vella, 08001 Barcelona, Spain",€ 947
321,Hostal MiMi Las Ramblas,7.4,"Nou de la Rambla 1, Ciutat Vella, 08001 Barcelona, Spain",€ 704
322,ROMANTIC apart,8.2,"Avinguda del Port d'Aiguadolç 6, 08870 Barcelona, Spain",€ 770
323,EA RAFAELA Enjoy Apartments Rafaela,,"Rambla de Catalunya 99, Eixample, 08008 Barcelona, Spain","€ 3,238"
324,Hotel Suizo,8.2,"Plaza del Angel, 12, Ciutat Vella, 08002 Barcelona, Spain",€ 929
325,Design rooms near Rambla,,"24 Carrer Ample, Ciutat Vella, 08002 Barcelona, Spain",€ 738
326,Aspasios Poble Nou Apartments,7.9,"171 Carrer de Pallars, Sant Martí, 08005 Barcelona, Spain","€ 2,690"
327,Abba Rambla Hotel,8.3,"Rambla del Raval, 4 C, Ciutat Vella, 08001 Barcelona, Spain","€ 1,086"
328,Mayerling Schumann Barcelona,7.9,"BRUC 16 BLOC ESC-1 PRAL-1, BARCELONA, Eixample, 08010 Barcelona, Spain","€ 1,369"
329,Paseo de Gracia Bas Apartments by Aspasios,9.1,"Diputació, 268, Eixample, 08009 Barcelona, Spain","€ 1,700"
330,"Hotel Indigo Barcelona - Plaza Catalunya, an IHG Hotel",7.9,"Gran Via de las Corts Catalanes, 629, Eixample, 08010 Barcelona, Spain","€ 1,246"
331,Acta Voraport,8.7,"Carrer de Ramon Turró 169-B, Sant Martí, 08005 Barcelona, Spain","€ 1,738"
332,The Loft Hostel,8.0,"Provença, 318, Eixample, 08037 Barcelona, Spain","€ 1,110"
333,Casa Vaganto,8.8,"1 Carrer d'En Fontrodona 1o 1a, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,274"
334,DreamKeys Barcelona City,8.0,"Avenida Diagonal 578, Sarrià-St. Gervasi, 08021 Barcelona, Spain","€ 1,664"
335,Aspasios Las Ramblas Apartments,8.2,"Nou de la Rambla, 15, Ciutat Vella, 08001 Barcelona, Spain","€ 1,988"
336,Aspasios Plaza Real Apartments,7.9,"Ferran, 7, Ciutat Vella, 08001 Barcelona, Spain","€ 1,502"
337,Hostal Girona,8.8,"Girona, 24 1º-1ª, Eixample, 08010 Barcelona, Spain","€ 1,680"
338,Apartamento Valencia,,"Valencia, 117, Eixample, 08011 Barcelona, Spain","€ 1,734"
339,BacHome Gallery B&B,8.8,"Bruc, 96, Eixample, 08009 Barcelona, Spain","€ 1,104"
340,Umma Barcelona B&B Boutique,8.4,"Avenida Diagonal, 433 Bis, Eixample, 08036 Barcelona, Spain","€ 1,136"
341,Aparthotel Augusta,8.5,"Lincoln, 32-34, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 1,056"
342,Fisa Rentals Les Corts Apartments,8.5,"Carrer del Marques de Sentmenat, 84, Les Corts, 08029 Barcelona, Spain","€ 1,049"
343,Moderno,7.3,"Hospital, 11, Ciutat Vella, 08001 Barcelona, Spain","€ 1,768"
344,Coronado,6.7,"Nou de la Rambla, 134, Sants-Montjuïc, 08004 Barcelona, Spain",€ 672
345,Mayerling Abamita Apartments,8.5,"Calle Ausias March, 25, Eixample, 08010 Barcelona, Spain","€ 1,469"
346,Classbedroom Fira Business Apartment,9.0,"Avinguda Rius i Taulet, 1, Sants-Montjuïc, 08004 Barcelona, Spain","€ 2,205"
347,Apartments Sata Sagrada Familia Area,8.3,"Ventalló, 48, Gràcia, 08025 Barcelona, Spain","€ 1,355"
348,Casa Lit Barcelona by Ona Hotels,8.1,"Arc del Teatre, 58, Ciutat Vella, 08001 Barcelona, Spain","€ 1,193"
349,Expo Hotel Barcelona,7.2,"Mallorca, 1-23, Sants-Montjuïc, 08014 Barcelona, Spain",€ 913
350,Hotel Lyon,7.2,"General Castaños, 6, Ciutat Vella, 08003 Barcelona, Spain",€ 773
351,Classbedroom Fira Business Apartment,9.0,"Avinguda Rius i Taulet, 1, Sants-Montjuïc, 08004 Barcelona, Spain","€ 2,205"
352,Hostal Las Flores Ramblas,8.2,"Ramblas, 79, Ciutat Vella, 08002 Barcelona, Spain","€ 1,112"
353,Acta Splendid,8.6,"Muntaner, 2, Eixample, 08011 Barcelona, Spain","€ 1,285"
354,Maldà Singular Hotel,9.1,"Carrer del Pi 5 , Ciutat Vella, 08002 Barcelona, Spain","€ 1,234"
355,Hotel Midmost by Majestic Hotel Group,8.5,"Pelayo, 14, Ciutat Vella, 08001 Barcelona, Spain","€ 1,323"
356,Stay U-nique Apartments Rambla Catalunya,7.7,"Rambla Catalunya , 52, Eixample, 08007 Barcelona, Spain","€ 3,399"
357,Casa Lit Barcelona by Ona Hotels,8.1,"Arc del Teatre, 58, Ciutat Vella, 08001 Barcelona, Spain","€ 1,193"
358,Vivobarcelona Apartments Princep,8.7,"Princep Jordi, 14, Sants-Montjuïc, 08028 Barcelona, Spain","€ 1,295"
359,Hotel Soho,8.8,"Gran Via De Les Corts Catalanes, 543-545, Eixample, 08011 Barcelona, Spain","€ 1,074"
360,Barcelona Sants Station Apartments,6.9,"Fernandez Duro 3-5, Sants-Montjuïc, 08014 Barcelona, Spain","€ 1,278"
361,Anais Apartments by gaiarooms,7.6,"291 Carrer de la Diputació, Eixample, 08009 Barcelona, Spain","€ 1,538"
362,Lumine Luxury Suites by gaiarooms,7.3,"129 Carrer de Balmes, Eixample, 08008 Barcelona, Spain","€ 1,234"
363,Aparthotel Atenea Barcelona,8.4,"Joan Güell, 207 - 211, Les Corts, 08028 Barcelona, Spain","€ 1,020"
364,Gran Hotel Barcino,8.1,"Jaume I, 6, Ciutat Vella, 08002 Barcelona, Spain","€ 1,135"
365,"Casa Consell Bailen, Guest House",8.5,"47 Carrer de Bailèn, Eixample, 08010 Barcelona, Spain",€ 947
366,Fira Apartments by gaiarooms,7.9,"Méxic, 24 , Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,650"
367,Barcelona Hotel Colonial,8.3,"Via Layetana, 3, Ciutat Vella, 08003 Barcelona, Spain","€ 1,145"
368,My Space Barcelona Rambla Catalunya Center,7.3,"Rambla Cataluña, 67, Eixample, 08007 Barcelona, Spain","€ 2,998"
369,Sant Pau Terraces Apartments,8.9,"Sant Antoni Maria Claret, 234-236, 08025 Barcelona, Spain","€ 1,261"
370,Tres Torres Atiram Hotels,8.2,"Calatrava, 32, Sarrià-St. Gervasi, 08017 Barcelona, Spain",€ 899
371,Ola Living MACBA,7.8,"Carrer del Tigre, 10, Ciutat Vella, 08001 Barcelona, Spain","€ 1,718"
372,Aparthotel Rambla108,8.2,"Las Ramblas, 108, Ciutat Vella, 08002 Barcelona, Spain","€ 1,887"
373,Bbarcelona Sagrada Familia Flats,8.4,"Provença 529, Eixample, 08025 Barcelona, Spain","€ 2,454"
374,Bbarcelona Apartments Córsega Flats,7.6,"Córcega, 225, Eixample, 08036 Barcelona, Spain","€ 1,416"
375,LetsGo Paseo de Gracia,6.9,"Paseo de Gracia, 3, Eixample, 08007 Barcelona, Spain","€ 1,451"
376,Hotel Travessera,7.8,"Travessera de Dalt, 121-123, Gràcia, 08024 Barcelona, Spain",€ 815
377,Lodging Apartments City Center-Eixample,8.4,"Aragó, 373, Eixample, 08009 Barcelona, Spain","€ 1,580"
378,VivoBarcelona Apartments Salva,8.6,"Salva, 78, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,093"
379,El Born Guest House by Casa Consell,8.4,"Comerç, 29, Ciutat Vella, 08003 Barcelona, Spain","€ 1,629"
380,BcnStop Parc Güell,8.4,"Bolívar, 17, Gràcia, 08023 Barcelona, Spain",€ 949
381,KANEi,5.6,"14 Avinguda de Vallcarca, Gràcia, 08023 Barcelona, Spain",€ 488
382,Hotel Constanza,8.6,"Bruc, 33, Eixample, 08010 Barcelona, Spain",€ 890
383,Sensation Sagrada Familia,9.1,"Rosselló, 380-382, Eixample, 08025 Barcelona, Spain","€ 1,822"
384,Aspasios Market Balconies,9.1,"73 Carrer del Comte Borrell, Eixample, 08015 Barcelona, Spain","€ 1,700"
385,Modern and bright apartment in Eixample 2-2,,"Carrer d'Entença 98, Eixample, 08015 Barcelona, Spain","€ 1,799"
386,Central Apartment,7.2,"Carrer d'En Fontrodona,17,4º,1ª, Sants-Montjuïc, 08004 Barcelona, Spain","€ 1,336"
387,La Maison de Barcelone,8.5,"103 Rambla de Catalunya, Eixample, 08008 Barcelona, Spain","€ 1,742"
388,Ofelias Hotel 4* Sup,8.6,"Llançà, 24, Eixample, 08015 Barcelona, Spain","€ 1,328"
389,Buba House,7.9,"Aragó 237, Principal 3, Eixample, 08007 Barcelona, Spain",€ 543
390,Montserrat Apartments by gaiarooms,7.6,"Passatge de Simó 3, Eixample, 08025 Barcelona, Spain","€ 1,855"
391,La Guarida Suites,8.0,"11 Carrer del Carme, Ciutat Vella, 08001 Barcelona, Spain","€ 1,783"
392,B&B Boutique Ca La Maria,8.9,"Còrsega 284, Principal, Eixample, 08008 Barcelona, Spain","€ 1,339"
393,limehome Barcelona Carrer de Fontcoberta - Self check-in only,8.3,"Carrer de Fontcoberta 4, Sarrià-St. Gervasi, 08034 Barcelona, Spain","€ 1,131"
394,Sunotel Club Central,7.9,"Valencia, 157, Eixample, 08011 Barcelona, Spain","€ 1,059"
395,Sunotel Central,7.7,"Gran Vía De Les Corts Catalanes, 570, Eixample, 08011 Barcelona, Spain","€ 1,286"
396,NEW! Apartment in Sarria near Metro,6.7,"5 Carrer de Gosol, Sarrià-St. Gervasi, 08017 Barcelona, Spain","€ 1,014"
397,Hostal Rio De Castro,7.8,"Avenida Paral.lel, 119, Sants-Montjuïc, 08004 Barcelona, Spain",€ 836
398,ELLA Guest House Barcelona,8.1,"Girona, 39, Eixample, 08010 Barcelona, Spain",€ 778
399,Ikonik Anglí,8.0,"Angli, 60, Sarrià-St. Gervasi, 08017 Barcelona, Spain","€ 1,067"
400,Ola Living Diagonal Apartments,7.8,"Calle Aribau 226-228, Sarrià-St. Gervasi, 08006 Barcelona, Spain","€ 2,765"
401,Mayerling Bisbe Urquinaona,8.1,"Ronda Sant Pere, 22, Eixample, 08010 Barcelona, Spain","€ 1,404"
402,Hotel Toledano Ramblas,6.9,"La Rambla, 138, Ciutat Vella, 08002 Barcelona, Spain",€ 653
403,Petit Hotel,8.3,"Laforja, 67, Sarrià-St. Gervasi, 08021 Barcelona, Spain",€ 724
404,Urban District Apartments - Rambla Suites & Pool,6.9,"Carrer del Ferrocarril 27, Sant Martí, 08005 Barcelona, Spain","€ 1,736"
405,Sunny and modern apartment ideal for groups,8.5,"204 Avinguda del Paral·lel, Eixample, 08015 Barcelona, Spain","€ 3,705"
406,Jardinets Guest House,7.7,"Bruc 84, Eixample, 08009 Barcelona, Spain",€ 743
407,Barcelona Central Apartments,6.7,"46 Carrer de Girona, Eixample, 08009 Barcelona, Spain","€ 1,051"
