,name,rating,location,price
943,Liv close to the plaza mayor,6.2,"Calle Sierpe, Centro, 28005 Madrid, Spain",€ 596
944,Elegant 3 Bedroom in La Latina,4.3,"Centro, 28005 Madrid, Spain","€ 1,343"
945,"Apartamento Madrid, 2 dormitorios, 5 personas - ES-183-15",,"AMOR DE DIOS 8, Centro, 28013 Madrid, Spain","€ 1,085"
946,MIT House Malasaña Terrace en Madrid,7.3,"Santa Águeda, 1, Centro, 28004 Madrid, Spain","€ 1,667"
947,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-23",,"SANTA BRIGIDA 15, Centro, 28013 Madrid, Spain","€ 1,028"
948,Principe I,,"Principe, Centro, 28012 Madrid, Spain","€ 1,146"
949,ático reformado en plaza mayor,,"TOLEDO, 87, Centro, 28005 Madrid, Spain","€ 1,062"
950,"Apartamento Madrid, 1 dormitorio, 3 personas - ES-183-29",,"del ALMENDRO 25, Centro, 28013 Madrid, Spain","€ 1,176"
951,G Apartamento plaza mayor,7.2,"bastero , Centro, 28005 Madrid, Spain","€ 3,800"
952,"Apartamento Madrid, 1 dormitorio, 4 personas - ES-183-5",,"AVE MARIA 40, Centro, 28013 Madrid, Spain","€ 1,129"
953,Rustic Apartment with Terrace in Madrid,3.2,"Centro, 28012 Madrid, Spain","€ 1,744"
954,BNBHolder Cosy MALASAÑA,7.1,"Calle Santa Lucía, Centro, 28004 Madrid, Spain",€ 976
955,Luxury Suite - Prime Location,5.5,"5 Calle de la Esgrima Floor 1 - Apartment 2D, Centro, 28052 Madrid, Spain","€ 3,473"
956,"Apartamento Madrid, 2 dormitorios, 6 personas - ES-183-61",,"VELARDE 3, Centro, 28004 Madrid, Spain","€ 1,076"
957,Lovely apartment in the heart of Madrid,8.0,"17 Calle del Doctor Piga Apartment 1C, Centro, 28012 Madrid, Spain",€ 849
958,"Apartamento Madrid, 2 dormitorios, 5 personas - ES-183-46",,"ZURITA 32, Centro, 28013 Madrid, Spain","€ 1,153"
959,2 bedrooms 1 bathroom furnished - Centro - equipped & stylish - Minty Stay,7.0,"ave maria 5, Centro, 28012 Madrid, Spain",€ 691
960,Explore a Walkable Neighborhood around a Comfy Apartment,8.0,"Calle de Almadén 26, Centro, 28014 Madrid, Spain","€ 1,416"
961,Spacious 3 Bedroom Apartment in Centro,,"Centro, 28012 Madrid, Spain","€ 2,160"
962,BNBHolder Valverde MALASAÑA,3.0,"Calle Valverde, Centro, 28004 Madrid, Spain","€ 1,177"
